page_id,doc_id,n_chars,n_words,status
as_p0185,ch04_elem_transcend,1609,263,ok
as_p0187,ch04_elem_transcend,4330,311,ok
as_p0188,ch04_elem_transcend,227,28,ok
as_p0191,ch04_elem_transcend,3143,276,ok
as_p0193,ch04_elem_transcend,281,14,ok
as_p0195,ch04_elem_transcend,2422,107,ok
as_p0199,ch04_elem_transcend,3120,491,ok
as_p0201,ch04_elem_transcend,2476,276,ok
as_p0207,ch04_elem_transcend,1635,41,ok
as_p0214,ch04_elem_transcend,2991,507,ok
as_p0215,ch04_elem_transcend,1586,33,ok
as_p0216,ch04_elem_transcend,1248,191,ok
as_p0223,ch04_elem_transcend,718,58,ok
as_p0224,ch04_elem_transcend,1274,87,ok
as_p0225,ch04_elem_transcend,1579,194,ok
as_p0227,ch05_expint,392,52,ok
as_p0229,ch05_expint,219,10,ok
as_p0230,ch05_expint,1886,36,ok
as_p0231,ch05_expint,224,26,ok
as_p0232,ch05_expint,2184,227,ok
as_p0233,ch05_expint,1910,50,ok
as_p0234,ch05_expint,3502,476,ok
as_p0235,ch05_expint,1346,173,ok
as_p0236,ch05_expint,2531,331,ok
as_p0237,ch05_expint,1525,148,ok
as_p0238,ch05_expint,1659,220,ok
as_p0243,ch05_expint,1629,330,ok
as_p0245,ch05_expint,1538,147,ok
as_p0250,ch05_expint,1664,312,ok
as_p0251,ch05_expint,3709,434,ok
as_p0253,ch06_gamma,1510,116,ok
as_p0254,ch06_gamma,724,88,ok
as_p0255,ch06_gamma,451,24,ok
as_p0257,ch06_gamma,3124,174,ok
as_p0258,ch06_gamma,1187,34,ok
as_p0259,ch06_gamma,1803,138,ok
as_p0261,ch06_gamma,150,21,ok
as_p0262,ch06_gamma,144,9,ok
as_p0263,ch06_gamma,181,5,ok
as_p0264,ch06_gamma,2495,223,ok
as_p0265,ch06_gamma,1990,185,ok
as_p0266,ch06_gamma,2140,312,ok
as_p0267,ch06_gamma,1625,325,ok
as_p0273,ch06_gamma,1630,269,ok
as_p0275,ch06_gamma,1642,30,ok
as_p0276,ch06_gamma,1819,362,ok
as_p0279,ch06_gamma,3190,613,ok
as_p0282,ch06_gamma,3677,699,ok
as_p0285,ch06_gamma,1562,300,ok
as_p0289,ch06_gamma,1747,210,ok
as_p0290,ch06_gamma,1662,337,ok
as_p0292,ch06_gamma,1650,342,ok
as_p0293,ch06_gamma,1650,142,ok
as_p0294,ch06_gamma,392,54,ok
as_p0295,ch07_error_fresnel,1329,133,ok
as_p0296,ch07_error_fresnel,698,51,ok
as_p0297,ch07_error_fresnel,1985,130,ok
as_p0298,ch07_error_fresnel,1366,73,ok
as_p0299,ch07_error_fresnel,1925,111,ok
as_p0300,ch07_error_fresnel,758,31,ok
as_p0301,ch07_error_fresnel,1814,70,ok
as_p0302,ch07_error_fresnel,1816,138,ok
as_p0303,ch07_error_fresnel,4895,226,ok
as_p0304,ch07_error_fresnel,1412,25,ok
as_p0305,ch07_error_fresnel,846,87,ok
as_p0306,ch07_error_fresnel,2302,274,ok
as_p0307,ch07_error_fresnel,1899,129,ok
as_p0308,ch07_error_fresnel,3183,454,ok
as_p0309,ch07_error_fresnel,1089,149,ok
as_p0310,ch07_error_fresnel,3534,463,ok
as_p0311,ch07_error_fresnel,1595,26,ok
as_p0312,ch07_error_fresnel,4393,863,ok
as_p0314,ch07_error_fresnel,1675,292,ok
as_p0315,ch07_error_fresnel,3904,552,ok
as_p0316,ch07_error_fresnel,1114,224,ok
as_p0317,ch07_error_fresnel,1569,244,ok
as_p0320,ch07_error_fresnel,221,6,ok
as_p0321,ch07_error_fresnel,1643,270,ok
as_p0323,ch07_error_fresnel,376,12,ok
as_p0325,ch07_error_fresnel,303,26,ok
as_p0326,ch07_error_fresnel,1688,267,ok
as_p0329,ch07_error_fresnel,366,36,ok
as_p0330,ch07_error_fresnel,392,54,ok
as_p0331,ch08_legendre,627,86,ok
as_p0332,ch08_legendre,2453,131,ok
as_p0333,ch08_legendre,1936,105,ok
as_p0334,ch08_legendre,144,5,ok
as_p0336,ch08_legendre,330,8,ok
as_p0337,ch08_legendre,2115,79,ok
as_p0338,ch08_legendre,1427,48,ok
as_p0339,ch08_legendre,352,51,ok
as_p0340,ch08_legendre,2689,335,ok
as_p0341,ch08_legendre,2570,291,ok
as_p0343,ch08_legendre,496,11,ok
as_p0345,ch08_legendre,3113,509,ok
as_p0347,ch08_legendre,128,20,ok
as_p0349,ch08_legendre,1652,48,ok
as_p0350,ch08_legendre,1621,326,ok
as_p0351,ch08_legendre,1601,33,ok
as_p0352,ch08_legendre,1667,234,ok
as_p0354,ch08_legendre,413,30,ok
as_p0355,ch09_bessel,172,27,ok
as_p0356,ch09_bessel,2031,259,ok
as_p0357,ch09_bessel,1401,145,ok
as_p0358,ch09_bessel,2848,326,ok
as_p0359,ch09_bessel,256,36,ok
as_p0360,ch09_bessel,4278,164,ok
as_p0361,ch09_bessel,5792,481,ok
as_p0362,ch09_bessel,1588,77,ok
as_p0363,ch09_bessel,2972,222,ok
as_p0364,ch09_bessel,545,37,ok
as_p0365,ch09_bessel,2079,134,ok
as_p0366,ch09_bessel,3214,137,ok
as_p0367,ch09_bessel,1774,63,ok
as_p0368,ch09_bessel,4105,394,ok
as_p0370,ch09_bessel,1854,63,ok
as_p0371,ch09_bessel,179,20,ok
as_p0372,ch09_bessel,1628,389,ok
as_p0373,ch09_bessel,963,113,ok
as_p0375,ch09_bessel,1756,81,ok
as_p0376,ch09_bessel,3728,166,ok
as_p0377,ch09_bessel,4174,328,ok
as_p0378,ch09_bessel,2275,174,ok
as_p0379,ch09_bessel,2989,158,ok
as_p0380,ch09_bessel,2246,105,ok
as_p0381,ch09_bessel,1873,65,ok
as_p0382,ch09_bessel,2107,111,ok
as_p0383,ch09_bessel,2049,69,ok
as_p0384,ch09_bessel,2155,129,ok
as_p0385,ch09_bessel,1011,135,ok
as_p0386,ch09_bessel,3740,544,ok
as_p0387,ch09_bessel,2592,307,ok
as_p0388,ch09_bessel,2373,361,ok
as_p0389,ch09_bessel,3445,518,ok
as_p0391,ch09_bessel,1557,124,ok
as_p0393,ch09_bessel,2453,406,ok
as_p0395,ch09_bessel,3290,525,ok
as_p0398,ch09_bessel,1577,264,ok
as_p0399,ch09_bessel,1599,280,ok
as_p0403,ch09_bessel,1539,219,ok
as_p0407,ch09_bessel,1537,263,ok
as_p0409,ch09_bessel,1640,266,ok
as_p0411,ch09_bessel,7510,710,ok
as_p0413,ch09_bessel,431,51,ok
as_p0414,ch09_bessel,4639,751,ok
as_p0415,ch09_bessel,646,98,ok
as_p0419,ch09_bessel,1600,244,ok
as_p0421,ch09_bessel,1646,35,ok
as_p0422,ch09_bessel,6092,1040,ok
as_p0423,ch09_bessel,1585,272,ok
as_p0424,ch09_bessel,329,46,ok
as_p0425,ch09_bessel,1754,73,ok
as_p0426,ch09_bessel,3216,451,ok
as_p0429,ch09_bessel,608,13,ok
as_p0433,ch09_bessel,331,12,ok
as_p0434,ch09_bessel,397,30,ok
as_p0435,ch10_bessel_frac,1686,216,ok
as_p0436,ch10_bessel_frac,426,34,ok
as_p0437,ch10_bessel_frac,2357,117,ok
as_p0438,ch10_bessel_frac,1369,70,ok
as_p0439,ch10_bessel_frac,2043,81,ok
as_p0440,ch10_bessel_frac,2238,109,ok
as_p0441,ch10_bessel_frac,1538,60,ok
as_p0442,ch10_bessel_frac,1684,203,ok
as_p0443,ch10_bessel_frac,3480,185,ok
as_p0444,ch10_bessel_frac,1654,108,ok
as_p0445,ch10_bessel_frac,174,10,ok
as_p0446,ch10_bessel_frac,1930,109,ok
as_p0447,ch10_bessel_frac,1953,92,ok
as_p0448,ch10_bessel_frac,2043,48,ok
as_p0449,ch10_bessel_frac,2081,69,ok
as_p0450,ch10_bessel_frac,1976,136,ok
as_p0451,ch10_bessel_frac,506,83,ok
as_p0453,ch10_bessel_frac,4503,422,ok
as_p0454,ch10_bessel_frac,2074,106,ok
as_p0455,ch10_bessel_frac,3961,595,ok
as_p0456,ch10_bessel_frac,790,119,ok
as_p0458,ch10_bessel_frac,1622,260,ok
as_p0459,ch10_bessel_frac,656,40,ok
as_p0460,ch10_bessel_frac,1593,307,ok
as_p0463,ch10_bessel_frac,1534,247,ok
as_p0465,ch10_bessel_frac,2162,37,ok
as_p0467,ch10_bessel_frac,4851,656,ok
as_p0476,ch10_bessel_frac,3217,531,ok
as_p0477,ch10_bessel_frac,1554,250,ok
as_p0479,ch11_bessel_integrals,1260,112,ok
as_p0481,ch11_bessel_integrals,3049,156,ok
as_p0482,ch11_bessel_integrals,415,9,ok
as_p0483,ch11_bessel_integrals,1805,43,ok
as_p0487,ch11_bessel_integrals,3707,131,ok
as_p0489,ch11_bessel_integrals,1472,130,ok
as_p0490,ch11_bessel_integrals,2354,395,ok
as_p0491,ch11_bessel_integrals,4661,454,ok
as_p0493,ch11_bessel_integrals,1543,135,ok
as_p0494,ch11_bessel_integrals,2914,328,ok
as_p0495,ch12_struve,1072,99,ok
as_p0496,ch12_struve,1408,63,ok
as_p0497,ch12_struve,951,37,ok
as_p0498,ch12_struve,980,35,ok
as_p0499,ch12_struve,2015,181,ok
as_p0500,ch12_struve,858,139,ok
as_p0501,ch12_struve,1615,220,ok
as_p0502,ch12_struve,1609,315,ok
as_p0503,ch13_conf_hypergeom,694,98,ok
as_p0504,ch13_conf_hypergeom,549,45,ok
as_p0505,ch13_conf_hypergeom,1827,87,ok
as_p0506,ch13_conf_hypergeom,429,32,ok
as_p0507,ch13_conf_hypergeom,725,21,ok
as_p0508,ch13_conf_hypergeom,1298,62,ok
as_p0509,ch13_conf_hypergeom,2104,182,ok
as_p0510,ch13_conf_hypergeom,2058,244,ok
as_p0511,ch13_conf_hypergeom,1917,259,ok
as_p0512,ch13_conf_hypergeom,2158,276,ok
as_p0513,ch13_conf_hypergeom,2516,275,ok
as_p0514,ch13_conf_hypergeom,738,109,ok
as_p0515,ch13_conf_hypergeom,1658,273,ok
as_p0519,ch13_conf_hypergeom,1613,33,ok
as_p0520,ch13_conf_hypergeom,2044,182,ok
as_p0521,ch13_conf_hypergeom,1594,316,ok
as_p0522,ch13_conf_hypergeom,4481,446,ok
as_p0523,ch13_conf_hypergeom,1598,315,ok
as_p0524,ch13_conf_hypergeom,2525,418,ok
as_p0525,ch13_conf_hypergeom,1638,101,ok
as_p0526,ch13_conf_hypergeom,3419,557,ok
as_p0527,ch13_conf_hypergeom,1361,51,ok
as_p0528,ch13_conf_hypergeom,3001,370,ok
as_p0529,ch13_conf_hypergeom,2159,82,ok
as_p0530,ch13_conf_hypergeom,7334,964,ok
as_p0531,ch13_conf_hypergeom,1587,262,ok
as_p0532,ch13_conf_hypergeom,6701,811,ok
as_p0533,ch13_conf_hypergeom,982,149,ok
as_p0535,ch13_conf_hypergeom,877,197,ok
as_p0536,ch13_conf_hypergeom,392,54,ok
as_p0537,ch14_coulomb,880,70,ok
as_p0538,ch14_coulomb,1664,106,ok
as_p0539,ch14_coulomb,1719,54,ok
as_p0540,ch14_coulomb,3092,181,ok
as_p0541,ch14_coulomb,752,18,ok
as_p0542,ch14_coulomb,1376,53,ok
as_p0544,ch14_coulomb,697,104,ok
as_p0547,ch14_coulomb,466,76,ok
as_p0548,ch14_coulomb,2258,157,ok
as_p0549,ch14_coulomb,889,42,ok
as_p0550,ch14_coulomb,1575,250,ok
as_p0551,ch14_coulomb,193,26,ok
as_p0553,ch14_coulomb,716,53,ok
as_p0554,ch14_coulomb,1031,52,ok
as_p0555,ch15_hypergeom,592,77,ok
as_p0556,ch15_hypergeom,2324,184,ok
as_p0557,ch15_hypergeom,3557,267,ok
as_p0558,ch15_hypergeom,1834,97,ok
as_p0559,ch15_hypergeom,1589,109,ok
as_p0560,ch15_hypergeom,2618,162,ok
as_p0561,ch15_hypergeom,1996,88,ok
as_p0562,ch15_hypergeom,353,21,ok
as_p0563,ch15_hypergeom,2071,119,ok
as_p0564,ch15_hypergeom,2326,141,ok
as_p0565,ch15_hypergeom,1243,33,ok
as_p0566,ch15_hypergeom,766,115,ok
as_p0567,ch16_jacobi_elliptic,1991,247,ok
as_p0568,ch16_jacobi_elliptic,2096,196,ok
as_p0569,ch16_jacobi_elliptic,598,79,ok
as_p0570,ch16_jacobi_elliptic,1059,166,ok
as_p0571,ch16_jacobi_elliptic,601,70,ok
as_p0573,ch16_jacobi_elliptic,2655,251,ok
as_p0574,ch16_jacobi_elliptic,1650,185,ok
as_p0575,ch16_jacobi_elliptic,2084,90,ok
as_p0576,ch16_jacobi_elliptic,171,21,ok
as_p0577,ch16_jacobi_elliptic,2217,223,ok
as_p0578,ch16_jacobi_elliptic,2707,208,ok
as_p0579,ch16_jacobi_elliptic,824,27,ok
as_p0580,ch16_jacobi_elliptic,1851,167,ok
as_p0581,ch16_jacobi_elliptic,2082,211,ok
as_p0582,ch16_jacobi_elliptic,1593,343,ok
as_p0586,ch16_jacobi_elliptic,392,54,ok
as_p0587,ch17_elliptic_integrals,2189,208,ok
as_p0588,ch17_elliptic_integrals,203,34,ok
as_p0589,ch17_elliptic_integrals,1495,222,ok
as_p0590,ch17_elliptic_integrals,3059,327,ok
as_p0591,ch17_elliptic_integrals,1109,48,ok
as_p0592,ch17_elliptic_integrals,2910,290,ok
as_p0593,ch17_elliptic_integrals,1525,85,ok
as_p0594,ch17_elliptic_integrals,164,14,ok
as_p0595,ch17_elliptic_integrals,1181,136,ok
as_p0596,ch17_elliptic_integrals,1121,202,ok
as_p0597,ch17_elliptic_integrals,2207,38,ok
as_p0598,ch17_elliptic_integrals,540,54,ok
as_p0599,ch17_elliptic_integrals,1864,42,ok
as_p0600,ch17_elliptic_integrals,2220,120,ok
as_p0602,ch17_elliptic_integrals,2356,337,ok
as_p0603,ch17_elliptic_integrals,2595,215,ok
as_p0604,ch17_elliptic_integrals,1909,230,ok
as_p0605,ch17_elliptic_integrals,2199,141,ok
as_p0606,ch17_elliptic_integrals,1798,185,ok
as_p0607,ch17_elliptic_integrals,974,133,ok
as_p0608,ch17_elliptic_integrals,416,50,ok
as_p0611,ch17_elliptic_integrals,614,36,ok
as_p0613,ch17_elliptic_integrals,3217,528,ok
as_p0615,ch17_elliptic_integrals,1628,258,ok
as_p0619,ch17_elliptic_integrals,3438,298,ok
as_p0621,ch17_elliptic_integrals,2474,341,ok
as_p0623,ch17_elliptic_integrals,3359,401,ok
as_p0624,ch17_elliptic_integrals,2930,382,ok
as_p0625,ch17_elliptic_integrals,3474,367,ok
as_p0626,ch17_elliptic_integrals,1669,254,ok
as_p0627,ch18_weierstrass,1057,141,ok
as_p0628,ch18_weierstrass,442,51,ok
as_p0629,ch18_weierstrass,2794,376,ok
as_p0630,ch18_weierstrass,427,45,ok
as_p0631,ch18_weierstrass,2236,133,ok
as_p0632,ch18_weierstrass,2277,59,ok
as_p0633,ch18_weierstrass,1439,80,ok
as_p0634,ch18_weierstrass,1717,31,ok
as_p0635,ch18_weierstrass,2172,51,ok
as_p0636,ch18_weierstrass,1780,165,ok
as_p0637,ch18_weierstrass,127,21,ok
as_p0638,ch18_weierstrass,2336,88,ok
as_p0639,ch18_weierstrass,2252,49,ok
as_p0641,ch18_weierstrass,1974,81,ok
as_p0642,ch18_weierstrass,2655,295,ok
as_p0643,ch18_weierstrass,257,40,ok
as_p0644,ch18_weierstrass,252,49,ok
as_p0645,ch18_weierstrass,249,15,ok
as_p0646,ch18_weierstrass,244,17,ok
as_p0649,ch18_weierstrass,1720,64,ok
as_p0650,ch18_weierstrass,5909,412,ok
as_p0652,ch18_weierstrass,2199,60,ok
as_p0654,ch18_weierstrass,2491,174,ok
as_p0656,ch18_weierstrass,1897,200,ok
as_p0657,ch18_weierstrass,2224,102,ok
as_p0658,ch18_weierstrass,407,55,ok
as_p0661,ch18_weierstrass,2962,255,ok
as_p0663,ch18_weierstrass,3056,405,ok
as_p0664,ch18_weierstrass,1939,284,ok
as_p0666,ch18_weierstrass,2402,251,ok
as_p0667,ch18_weierstrass,2747,363,ok
as_p0668,ch18_weierstrass,2179,220,ok
as_p0669,ch18_weierstrass,3314,424,ok
as_p0670,ch18_weierstrass,643,79,ok
as_p0671,ch18_weierstrass,1129,136,ok
as_p0672,ch18_weierstrass,392,54,ok
as_p0674,ch18_weierstrass,1591,383,ok
as_p0675,ch18_weierstrass,2512,429,ok
as_p0679,ch18_weierstrass,2690,462,ok
as_p0681,ch18_weierstrass,2047,126,ok
as_p0683,ch18_weierstrass,3904,551,ok
as_p0684,ch18_weierstrass,413,30,ok
as_p0685,ch19_parabolic_cyl,1070,145,ok
as_p0686,ch19_parabolic_cyl,208,22,ok
as_p0687,ch19_parabolic_cyl,418,30,ok
as_p0688,ch19_parabolic_cyl,259,12,ok
as_p0689,ch19_parabolic_cyl,2378,162,ok
as_p0690,ch19_parabolic_cyl,690,17,ok
as_p0691,ch19_parabolic_cyl,2845,158,ok
as_p0692,ch19_parabolic_cyl,2057,116,ok
as_p0693,ch19_parabolic_cyl,3483,142,ok
as_p0694,ch19_parabolic_cyl,2456,151,ok
as_p0695,ch19_parabolic_cyl,1598,96,ok
as_p0696,ch19_parabolic_cyl,2974,317,ok
as_p0697,ch19_parabolic_cyl,415,7,ok
as_p0698,ch19_parabolic_cyl,2879,518,ok
as_p0699,ch19_parabolic_cyl,2219,278,ok
as_p0700,ch19_parabolic_cyl,1202,168,ok
as_p0705,ch19_parabolic_cyl,1627,261,ok
as_p0706,ch19_parabolic_cyl,1579,285,ok
as_p0708,ch19_parabolic_cyl,1575,327,ok
as_p0709,ch19_parabolic_cyl,1579,261,ok
as_p0710,ch19_parabolic_cyl,1575,256,ok
as_p0711,ch19_parabolic_cyl,3137,425,ok
as_p0712,ch19_parabolic_cyl,1580,304,ok
as_p0717,ch19_parabolic_cyl,1562,203,ok
as_p0720,ch19_parabolic_cyl,1788,352,ok
as_p0721,ch20_mathieu,608,83,ok
as_p0722,ch20_mathieu,3682,370,ok
as_p0723,ch20_mathieu,1264,116,ok
as_p0724,ch20_mathieu,993,167,ok
as_p0725,ch20_mathieu,2081,223,ok
as_p0727,ch20_mathieu,2904,426,ok
as_p0728,ch20_mathieu,2570,321,ok
as_p0730,ch20_mathieu,1773,171,ok
as_p0731,ch20_mathieu,2781,212,ok
as_p0732,ch20_mathieu,2664,263,ok
as_p0733,ch20_mathieu,2159,99,ok
as_p0734,ch20_mathieu,1707,169,ok
as_p0735,ch20_mathieu,2213,141,ok
as_p0736,ch20_mathieu,3236,318,ok
as_p0737,ch20_mathieu,2543,239,ok
as_p0738,ch20_mathieu,314,38,ok
as_p0739,ch20_mathieu,1857,193,ok
as_p0740,ch20_mathieu,2939,316,ok
as_p0741,ch20_mathieu,2440,177,ok
as_p0742,ch20_mathieu,2012,99,ok
as_p0743,ch20_mathieu,1422,118,ok
as_p0744,ch20_mathieu,139,13,ok
as_p0745,ch20_mathieu,3535,540,ok
as_p0746,ch20_mathieu,2895,384,ok
as_p0748,ch20_mathieu,4883,892,ok
as_p0749,ch20_mathieu,1642,238,ok
as_p0750,ch20_mathieu,4578,768,ok
as_p0751,ch21_spheroidal,1504,231,ok
as_p0752,ch21_spheroidal,2343,151,ok
as_p0753,ch21_spheroidal,882,51,ok
as_p0754,ch21_spheroidal,902,18,ok
as_p0755,ch21_spheroidal,163,5,ok
as_p0756,ch21_spheroidal,1331,130,ok
as_p0757,ch21_spheroidal,1108,49,ok
as_p0758,ch21_spheroidal,440,34,ok
as_p0759,ch21_spheroidal,1256,201,ok
as_p0760,ch21_spheroidal,1949,155,ok
as_p0766,ch21_spheroidal,1674,372,ok
as_p0767,ch21_spheroidal,713,258,ok
as_p0768,ch21_spheroidal,1617,295,ok
as_p0771,ch22_orthogonal_poly,215,30,ok
as_p0772,ch22_orthogonal_poly,2533,354,ok
as_p0773,ch22_orthogonal_poly,1342,119,ok
as_p0775,ch22_orthogonal_poly,2852,245,ok
as_p0776,ch22_orthogonal_poly,211,16,ok
as_p0777,ch22_orthogonal_poly,1917,138,ok
as_p0778,ch22_orthogonal_poly,224,3,ok
as_p0779,ch22_orthogonal_poly,411,47,ok
as_p0780,ch22_orthogonal_poly,1077,55,ok
as_p0781,ch22_orthogonal_poly,1852,183,ok
as_p0782,ch22_orthogonal_poly,1894,222,ok
as_p0783,ch22_orthogonal_poly,800,8,ok
as_p0784,ch22_orthogonal_poly,146,7,ok
as_p0785,ch22_orthogonal_poly,643,30,ok
as_p0786,ch22_orthogonal_poly,2669,108,ok
as_p0787,ch22_orthogonal_poly,1318,91,ok
as_p0788,ch22_orthogonal_poly,1596,201,ok
as_p0789,ch22_orthogonal_poly,299,25,ok
as_p0790,ch22_orthogonal_poly,4637,523,ok
as_p0791,ch22_orthogonal_poly,1645,123,ok
as_p0792,ch22_orthogonal_poly,2758,339,ok
as_p0795,ch22_orthogonal_poly,1747,306,ok
as_p0796,ch22_orthogonal_poly,1704,289,ok
as_p0799,ch22_orthogonal_poly,139,13,ok
as_p0800,ch22_orthogonal_poly,1610,324,ok
as_p0802,ch22_orthogonal_poly,1495,290,ok
as_p0803,ch23_bernoulli_zeta,1384,132,ok
as_p0804,ch23_bernoulli_zeta,216,21,ok
as_p0805,ch23_bernoulli_zeta,258,10,ok
as_p0806,ch23_bernoulli_zeta,573,14,ok
as_p0807,ch23_bernoulli_zeta,274,13,ok
as_p0808,ch23_bernoulli_zeta,2132,303,ok
as_p0810,ch23_bernoulli_zeta,1599,393,ok
